Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,227.2625,-128.8,0.0,top
C10,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,243.975,-126.15,0.0,top
C11,10uF,CP_Radial_D5.0mm_P2.50mm,116.2,-130.844887,-90.0,top
C12,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,235.975,-123.4875,270.0,bottom
C13,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.3,-125.7,-90.0,top
C14,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,86.5,-125.7,-90.0,top
C16,.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,108.0,-133.0,-90.0,top
C17,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,106.0,-133.0,-90.0,top
C2,2.2uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,230.4375,-132.75,180.0,top
C3,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,261.375,-125.75,270.0,bottom
C4,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,263.485,-125.75,270.0,bottom
C5,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,185.4,-129.4,180.0,top
C6,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,185.4,-126.8,180.0,top
C7,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,241.375,-123.35,90.0,bottom
C8,.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.6,-132.0,-90.0,top
C9,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,234.175,-130.75,270.0,bottom
D2,SMAJ58A,D_SMA,88.3,-132.2,-90.0,top
D4,1N4742-12V,D_DO-41_SOD81_P10.16mm_Horizontal,101.0,-127.4,0.0,top
IC1,TPS2373-4RGWR,Texas_RGW0020A_VQFN-20-1EP_5x5mm_P0.65mm_EP3.15x3.15mm,101.0,-132.6375,0.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_XKB_U262-16XN-4BVC11,202.28,-124.06,180.0,top
J10,Conn_01x02,PinHeader_1x02_P2.00mm_Vertical,227.2,-125.4,0.0,top
J2,WE-RJ45LAN 10/100BaseT PoE,7499211125,73.839,-131.485,90.0,top
J3,Screw_Terminal_01x03,TerminalBlock_RND_205-00013_1x03_P5.00mm_Horizontal,196.4,-138.0,0.0,top
J4,Screw_Terminal_01x03,TerminalBlock_RND_205-00013_1x03_P5.00mm_Horizontal,179.4,-138.0,0.0,top
J5,Screw_Terminal_01x03,TerminalBlock_RND_205-00013_1x03_P5.00mm_Horizontal,162.4,-138.2,0.0,top
J6,Screw_Terminal_01x03,TerminalBlock_RND_205-00013_1x03_P5.00mm_Horizontal,162.3,-124.9,180.0,top
J7,Conn_01x04,PinSocket_1x04_P2.54mm_Vertical,255.385,-141.325,90.0,top
J8,Conn_01x02,TerminalBlock_MetzConnect_Type055_RT01502HDWU_1x02_P5.00mm_Horizontal,148.0,-125.6,180.0,top
J9,Conn_01x04,PinSocket_1x04_P2.54mm_Vertical,206.2,-137.99,180.0,top
Q1,NPN,TO-92_Inline_Wide,214.06,-130.0,0.0,top
Q2,NPN,TO-92_Inline_Wide,214.06,-124.8,0.0,top
R1,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,199.0,-128.4,180.0,top
R10,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,176.9,-124.5,90.0,top
R11,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,180.07,-124.4875,90.0,top
